x1,y1,z1,core1,vcn1,x2,y2,z2,core2,vcn2,t,study_id,subject
103.739998,170.039993,38.799999,924.213623,745.277527,103.322304,167.101776,38.469036,506.147949,452.417419,0,1-0ZHT,1-0Z20
106.079994,160.159988,39.200001,536.373962,471.227356,106.310898,160.873962,41.993999,549.386719,468.631958,0,1-0ZHT,1-0Z20
114.659996,161.459991,39.200001,504.669281,455.157837,112.611862,162.363220,39.135689,452.417419,413.311768,0,1-0ZHT,1-0Z20
106.599998,164.839996,39.200001,543.757263,486.862549,106.622574,165.740265,39.101871,524.588013,465.452637,0,1-0ZHT,1-0Z20
111.279999,169.779999,39.200001,474.701843,431.053589,110.898369,170.389664,38.506763,438.110474,378.975098,0,1-0ZHT,1-0Z20
111.019997,172.899994,39.200001,498.588928,434.745239,110.488029,171.724701,38.605236,484.846497,396.461365,0,1-0ZHT,1-0Z20
113.879997,154.439987,39.600002,515.527039,462.975433,113.584351,155.255264,38.640316,483.892700,417.126953,0,1-0ZHT,1-0Z20
108.419998,155.479996,39.600002,562.866943,505.537903,108.324532,154.304794,39.905609,550.022583,480.713379,0,1-0ZHT,1-0Z20
109.719994,164.839996,39.600002,518.132935,454.723511,109.234436,165.787888,39.042744,492.794800,424.757324,0,1-0ZHT,1-0Z20
117.779999,160.159988,40.000000,469.055786,430.402100,119.955925,159.033234,40.744301,473.400940,437.156677,0,1-0ZHT,1-0Z20
108.159996,162.759995,40.000000,534.202393,467.318542,110.558640,162.478958,39.994335,436.202881,406.317261,0,1-0ZHT,1-0Z20
102.439995,163.279999,40.000000,525.950500,482.953735,103.828835,163.650589,38.628689,504.240356,443.833252,0,1-0ZHT,1-0Z20
120.639999,143.259995,40.400002,464.278381,418.892883,120.409317,142.284119,40.422840,463.227112,411.086243,0,1-0ZHT,1-0Z20
118.299995,155.479996,40.400002,527.253418,462.106812,118.119141,155.486816,41.354511,521.090759,422.849731,0,1-0ZHT,1-0Z20
107.639999,158.079987,40.400002,521.607422,472.530273,106.410629,157.218292,37.738827,473.083008,431.433899,0,1-0ZHT,1-0Z20
104.000000,162.500000,40.400002,543.322937,489.902710,102.468506,161.707520,42.141014,610.747620,544.617737,0,1-0ZHT,1-0Z20
122.459999,157.559998,40.799999,565.907104,486.862549,123.599922,156.522217,38.485615,461.955383,423.167664,0,1-0ZHT,1-0Z20
110.239998,169.259995,40.799999,534.202393,452.986267,109.785576,169.413269,38.869438,498.835510,397.415161,0,1-0ZHT,1-0Z20
123.759995,144.299988,41.200001,505.537903,439.956970,124.719185,144.353241,39.254517,437.474609,411.086243,0,1-0ZHT,1-0Z20
119.079994,152.360001,41.200001,459.500946,422.150208,121.381340,154.231323,40.391315,413.947632,377.385437,0,1-0ZHT,1-0Z20
99.059998,170.819992,41.200001,716.178711,617.155823,99.045021,171.824158,39.686745,699.450684,594.851013,0,1-0ZHT,1-0Z20
118.559998,139.879990,41.600002,448.643188,414.549774,118.190742,139.993225,42.328545,489.933411,442.243591,0,1-0ZHT,1-0Z20
123.239998,152.360001,41.600002,489.902710,423.235992,122.794235,152.268265,40.628208,457.186401,391.374451,0,1-0ZHT,1-0Z20
115.699997,153.139999,41.600002,505.972229,457.763702,116.124039,153.592438,40.875256,444.787048,404.727600,0,1-0ZHT,1-0Z20
110.239998,157.299988,41.600002,585.451111,486.862549,110.461426,154.911743,39.894962,477.851990,435.249084,0,1-0ZHT,1-0Z20
107.379997,164.319992,41.600002,551.140564,490.771332,107.859070,166.372086,43.926296,605.342773,533.172180,0,1-0ZHT,1-0Z20
113.879997,175.500000,42.400002,461.672485,402.171906,112.998184,176.389252,40.058220,414.265564,367.847473,0,1-0ZHT,1-0Z20
118.559998,156.259995,42.799999,530.293640,472.530273,117.986862,156.747757,42.243420,446.376709,416.809021,0,1-0ZHT,1-0Z20
117.779999,173.939987,42.799999,485.559601,408.252258,117.082550,174.626358,41.848679,429.526306,376.431641,0,1-0ZHT,1-0Z20
115.179993,154.959991,43.600002,579.805054,499.023254,115.039307,155.660446,42.642483,516.003845,454.960876,0,1-0ZHT,1-0Z20
111.799995,162.239990,43.600002,527.253418,466.884216,112.352295,161.111481,42.667683,486.436157,448.284302,0,1-0ZHT,1-0Z20
111.799995,167.699997,43.600002,498.588928,447.340240,111.424881,167.775314,45.939445,501.378967,442.879456,0,1-0ZHT,1-0Z20
105.820000,155.739990,44.000000,688.382812,563.735596,105.920578,155.908127,42.475422,552.248108,488.661682,0,1-0ZHT,1-0Z20
