fish1_x,fish1_y,fish2_x,fish2_y,fish3_x,fish3_y
1595.709,198.1355,638.583,116.667,,
2067.486,291.4105,,,,
1374.663,207.1352,,,,
1988.104,195.1003,,,,
1838.39,170.7299,,,,
1682.331,239.5782,,,,
2322.385,253.0191,,,,
1911.903,158.5788,,,,
3111.813,290.0742,,,,
1457.358,161.2962,,,,
1485.886,151.5888,,,,
880.9092,114.3149,,,,
2238.291,216.2384,,,,
1653.848,197.2161,,,,
1627.474,158.9536,,,,
1712.863,219.3782,,,,
1477.537,175.3282,,,,
1399.425,144.6614,,,,
1600.28,159.063,,,,
2309.019,187.4642,,,,
1700.733,193.8868,,,,
1458.826,138.8463,,,,
2833.499,275.9258,,,,
1235.059,199.2707,,,,
1312.819,153.8245,,,,
2159.474,238.8966,,,,
1951.823,196.6005,,,,
1257.92,159.6586,,,,
2069.348,198.0317,,,,
2059.947,235.0341,,,,
1265.86,171.8577,,,,
1688.167,184.9672,,,,
1295.986,160.2308,,,,
1129.871,188.2431,,,,
1682.134,176.0409,,,,
1349.733,170.9536,,,,
1454.122,169.9649,,,,
1032.784,159.3886,,,,
828.8582,139.5104,,,,
1817.087,152.0996,,,,
879.1901,119.5678,,,,
1349.161,184.8581,,,,
1646.281,153.1838,,,,
1642.573,137.8478,,,,
1679.418,154.8541,,,,
2337.144,251.8791,,,,
1654.802,172.9034,,,,
1624.936,169.2294,,,,
2583.521,284.2281,,,,
1167.392,193.0386,,,,
1613.881,183.9944,,,,
1768.906,188.3901,,,,
1812.965,206.0648,,,,
1454.637,176.6549,,,,
1635.317,152.6566,,,,
1517.344,189.5912,,,,
1422.449,172.5534,,,,
2430.929,184.2112,,,,
1363.873,162.6062,,,,
920.2643,174.0328,,,,
827.7603,144.785,,,,
1060.929,133.565,,,,
1273.777,119.4637,,,,
1702.848,216.3333,,,,
1136.522,137.3486,,,,
1272.145,244.5417,,,,
1330.623,159.9728,,,,
1193.734,152.4009,,,,
1643.523,250.3807,,,,
1943.512,228.2536,,,,
1514.828,161.5661,,,,
1219.199,142.8142,,,,
1532.042,181.6214,,,,
1468.483,142.9609,,,,
1470.766,180.9616,,,,
1251.665,142.7741,,,,
1240.478,172.8957,,,,
1270.803,187.0457,,,,
1082.395,145.3827,,,,
2234.277,233.9287,,,,
1111.606,146.6677,,,,
1575.065,206.3024,,,,
1703.356,161.8022,,,,
1632.462,156.4948,,,,
1652.345,174.3816,,,,
2018.819,179.3284,,,,
1499.836,171.2875,,,,
1105.685,162.6445,,,,
1643.461,170.6679,,,,
1049.015,118.8505,,,,
1826.362,153.9652,,,,
1510.578,182.9812,,,,
1386.115,256.9812,,,,
1380.484,155.9877,,,,
2115.543,218.1566,,,,
1589.822,163.7447,,,,
1178.927,140.0059,,,,
